Year,Month,Month_Number,Product,Region,Sales_Amount,Cost_Amount,Profit
2022,April,4,Smartwatch,East,99192,32666,66526
2022,April,4,Smartwatch,West,88172,9163,79009
2022,May,5,Laptop,North,60432,30009,30423
2022,May,5,Laptop,South,88104,35674,52430
2022,May,5,Laptop,East,79352,21476,57876
2022,May,5,Laptop,West,82512,61412,21100
2022,May,5,Mobile,North,11504,49583,-38079
2022,May,5,Mobile,South,25014,49676,-24662
2022,May,5,Mobile,East,80381,54209,26172
2022,May,5,Mobile,West,44973,55370,-10397
2022,May,5,Tablet,North,94012,27293,66719
2022,May,5,Tablet,South,24621,24234,387
2022,May,5,Tablet,East,66985,15365,51620
2022,May,5,Tablet,West,69470,5212,64258
2022,May,5,Headphones,North,44522,68693,-24171
2022,May,5,Headphones,South,75612,54935,20677
2022,May,5,Headphones,East,33416,38271,-4855
2022,May,5,Headphones,West,23947,62050,-38103
2022,May,5,Smartwatch,North,91959,24558,67401
2022,May,5,Smartwatch,South,93748,38270,55478
2022,May,5,Smartwatch,East,89818,18035,71783
2022,May,5,Smartwatch,West,30032,29504,528
2022,June,6,Laptop,North,31174,40348,-9174
2022,June,6,Laptop,South,79514,65194,14320
2022,June,6,Laptop,East,10074,44252,-34178
2022,June,6,Laptop,West,52487,37021,15466
2022,June,6,Mobile,North,12552,12331,221
2022,June,6,Mobile,South,57576,62587,-5011
2022,June,6,Mobile,East,50306,20692,29614
2022,June,6,Mobile,West,17592,20785,-3193
2022,June,6,Tablet,North,84364,67059,17305
2022,June,6,Tablet,South,20322,10613,9709
2022,June,6,Tablet,East,73699,58478,15221
2022,June,6,Tablet,West,19071,69093,-50022
2022,June,6,Headphones,North,79822,55189,24633
2022,June,6,Headphones,South,26483,13414,13069
2022,June,6,Headphones,East,96474,36148,60326
2022,June,6,Headphones,West,82063,15821,66242
2022,June,6,Smartwatch,North,44741,39581,5160
2022,June,6,Smartwatch,South,89507,32730,56777
2022,June,6,Smartwatch,East,37760,65877,-28117
2022,June,6,Smartwatch,West,80686,54497,26189
2022,July,7,Laptop,North,36365,51723,-15358
2022,July,7,Laptop,South,50857,31148,19709
2022,July,7,Laptop,East,98039,47590,50449
2022,July,7,Laptop,West,58944,33711,25233
2022,July,7,Mobile,North,77839,34588,43251
2022,July,7,Mobile,South,25860,21246,4614
2022,July,7,Mobile,East,39451,9196,30255
2022,July,7,Mobile,West,54313,6378,47935
2022,July,7,Tablet,North,87110,41301,45809
2022,July,7,Tablet,South,40161,43564,-3403
2022,July,7,Tablet,East,38864,5471,33393
2022,July,7,Tablet,West,19305,51389,-32084
2022,July,7,Headphones,North,92719,8858,83861
2022,July,7,Headphones,South,40007,9417,30590
2022,July,7,Headphones,East,14117,61337,-47220
2022,July,7,Headphones,West,53309,9643,43666
2022,July,7,Smartwatch,North,77391,20597,56794
2022,July,7,Smartwatch,South,46500,48842,-2342
2022,July,7,Smartwatch,East,73624,19040,54584
2022,July,7,Smartwatch,West,80678,13671,67007
2022,August,8,Laptop,North,84847,42762,42085
2022,August,8,Laptop,South,71953,20925,51028
2022,August,8,Laptop,East,71993,57920,14073
2022,August,8,Laptop,West,63354,17478,45876
2022,August,8,Mobile,North,22363,11352,11011
2022,August,8,Mobile,South,96374,33249,63125
2022,August,8,Mobile,East,56438,32759,23679
2022,August,8,Mobile,West,63883,35606,28277
2022,August,8,Tablet,North,17100,49129,-32029
2022,August,8,Tablet,South,95649,69498,26151
2022,August,8,Tablet,East,94696,11449,83247
2022,August,8,Tablet,West,17944,31386,-13442
2022,August,8,Headphones,North,54473,57467,-2994
2022,August,8,Headphones,South,24322,21295,3027
2022,August,8,Headphones,East,35112,17465,17647
2022,August,8,Headphones,West,80292,34400,45892
2022,August,8,Smartwatch,North,28373,32648,-4275
2022,August,8,Smartwatch,South,34050,23254,10796
2022,August,8,Smartwatch,East,70637,21371,49266
2022,August,8,Smartwatch,West,19880,34041,-14161
2022,September,9,Laptop,North,82132,11416,70716
2022,September,9,Laptop,South,16630,47738,-31108
2022,September,9,Laptop,East,80855,59789,21066
2022,September,9,Laptop,West,11934,68504,-56570
2022,September,9,Mobile,North,22224,65710,-43486
2022,September,9,Mobile,South,40982,15899,25083
2022,September,9,Mobile,East,63269,36826,26443
2022,September,9,Mobile,West,73092,19008,54084
2022,September,9,Tablet,North,62565,64142,-1577
2022,September,9,Tablet,South,17685,15789,1896
2022,September,9,Tablet,East,59672,5141,54531
2022,September,9,Tablet,West,61173,22380,38793
2022,September,9,Headphones,North,69638,23694,45944
2022,September,9,Headphones,South,65444,50651,14793
2022,September,9,Headphones,East,82845,48376,34469
2022,September,9,Headphones,West,73788,15144,58644
2022,September,9,Smartwatch,North,34890,24445,10445
2022,September,9,Smartwatch,South,38534,68485,-29951
2022,September,9,Smartwatch,East,17665,42957,-25292
2022,September,9,Smartwatch,West,81066,8994,72072
2022,October,10,Laptop,North,51104,8746,42358
2022,October,10,Laptop,South,16572,43284,-26712
2022,October,10,Laptop,East,72493,37954,34539
2022,October,10,Laptop,West,79615,15317,64298
2022,October,10,Mobile,North,17455,67965,-50510
2022,October,10,Mobile,South,76562,10250,66312
2022,October,10,Mobile,East,34356,9490,24866
2022,October,10,Mobile,West,87992,9453,78539
2022,October,10,Tablet,North,98501,61480,37021
2022,October,10,Tablet,South,40828,31461,9367
2022,October,10,Tablet,East,25713,66708,-40995
2022,October,10,Tablet,West,84668,21135,63533
2022,October,10,Headphones,North,85880,43962,41918
2022,October,10,Headphones,South,15209,45591,-30382
2022,October,10,Headphones,East,20745,32474,-11729
2022,October,10,Headphones,West,96163,43251,52912
2022,October,10,Smartwatch,North,84085,39261,44824
2022,October,10,Smartwatch,South,51467,66256,-14789
2022,October,10,Smartwatch,East,44179,18386,25793
2022,October,10,Smartwatch,West,97782,51936,45846
2022,November,11,Laptop,North,51180,20642,30538
2022,November,11,Laptop,South,44814,30938,13876
2022,November,11,Laptop,East,27154,49019,-21865
2022,November,11,Laptop,West,94607,24660,69947
2022,November,11,Mobile,North,69929,25720,44209
2022,November,11,Mobile,South,19508,5610,13898
2022,November,11,Mobile,East,70068,45708,24360
2022,November,11,Mobile,West,83792,11552,72240
2022,November,11,Tablet,North,19602,40234,-20632
2022,November,11,Tablet,South,37938,38153,-215
2022,November,11,Tablet,East,44760,13680,31080
2022,November,11,Tablet,West,55745,62728,-6983
2022,November,11,Headphones,North,19016,62623,-43607
2022,November,11,Headphones,South,42018,29217,12801
2022,November,11,Headphones,East,47353,15338,32015
2022,November,11,Headphones,West,67433,59640,7793
2022,November,11,Smartwatch,North,81200,51107,30093
2022,November,11,Smartwatch,South,49651,45086,4565
2022,November,11,Smartwatch,East,95717,39664,56053
2022,November,11,Smartwatch,West,11025,48769,-37744
2022,December,12,Laptop,North,82692,24620,58072
2022,December,12,Laptop,South,96951,11788,85163
2022,December,12,Laptop,East,27601,22332,5269
2022,December,12,Laptop,West,25129,63308,-38179
2022,December,12,Mobile,North,24029,53655,-29626
2022,December,12,Mobile,South,82512,15187,67325
2022,December,12,Mobile,East,45697,23465,22232
2022,December,12,Mobile,West,89276,18803,70473
2022,December,12,Tablet,North,54942,18342,36600
2022,December,12,Tablet,South,93130,60896,32234
2022,December,12,Tablet,East,44600,38122,6478
2022,December,12,Tablet,West,74032,21457,52575
2022,December,12,Headphones,North,16658,11048,5610
2022,December,12,Headphones,South,93136,32759,60377
2022,December,12,Headphones,East,46265,7889,38376
2022,December,12,Headphones,West,10464,26859,-16395
2022,December,12,Smartwatch,North,27146,46753,-19607
2022,December,12,Smartwatch,South,44335,15589,28746
2022,December,12,Smartwatch,East,67912,41154,26758
2022,December,12,Smartwatch,West,66057,41759,24298
2023,January,1,Laptop,North,11267,12331,-1064
2023,January,1,Laptop,South,19862,66934,-47072
2023,January,1,Laptop,East,29536,40755,-11219
2023,January,1,Laptop,West,14722,59696,-44974
2023,January,1,Mobile,North,58393,43175,15218
2023,January,1,Mobile,South,82420,14705,67715
2023,January,1,Mobile,East,66333,13352,52981
2023,January,1,Mobile,West,15482,25202,-9720
2023,January,1,Tablet,North,57795,63915,-6120
2023,January,1,Tablet,South,15229,63911,-48682
2023,January,1,Tablet,East,56898,18767,38131
2023,January,1,Tablet,West,99399,21353,78046
2023,January,1,Headphones,North,97416,11736,85680
2023,January,1,Headphones,South,56357,56125,232
2023,January,1,Headphones,East,83385,62942,20443
2023,January,1,Headphones,West,63264,68821,-5557
2023,January,1,Smartwatch,North,91351,54117,37234
2023,January,1,Smartwatch,South,30257,65670,-35413
2023,January,1,Smartwatch,East,41029,61662,-20633
2023,January,1,Smartwatch,West,31299,68976,-37677
2023,February,2,Laptop,North,33206,62764,-29558
2023,February,2,Laptop,South,64040,6624,57416
2023,February,2,Laptop,East,33509,53271,-19762
2023,February,2,Laptop,West,53540,56274,-2734
2023,February,2,Mobile,North,63964,57575,6389
2023,February,2,Mobile,South,97806,61627,36179
2023,February,2,Mobile,East,42527,22485,20042
2023,February,2,Mobile,West,30866,56601,-25735
2023,February,2,Tablet,North,24168,30070,-5902
2023,February,2,Tablet,South,15075,61268,-46193
2023,February,2,Tablet,East,71694,19577,52117
2023,February,2,Tablet,West,36158,58515,-22357
2023,February,2,Headphones,North,70332,27915,42417
2023,February,2,Headphones,South,50001,58774,-8773
2023,February,2,Headphones,East,39831,19609,20222
2023,February,2,Headphones,West,13101,48255,-35154
2023,February,2,Smartwatch,North,35313,31113,4200
2023,February,2,Smartwatch,South,53025,23258,29767
2023,February,2,Smartwatch,East,19099,68366,-49267
2023,February,2,Smartwatch,West,46585,28012,18573
2023,March,3,Laptop,North,94080,38384,55696
2023,March,3,Laptop,South,62386,49532,12854
2023,March,3,Laptop,East,80282,26702,53580
2023,March,3,Laptop,West,13617,12559,1058
2023,March,3,Mobile,North,44237,16702,27535
2023,March,3,Mobile,South,86099,68080,18019
2023,March,3,Mobile,East,44795,7507,37288
2023,March,3,Mobile,West,24208,44096,-19888
2023,March,3,Tablet,North,66959,27654,39305
2023,March,3,Tablet,South,51114,33599,17515
2023,March,3,Tablet,East,89457,69502,19955
2023,March,3,Tablet,West,77033,12578,64455
2023,March,3,Headphones,North,60488,63949,-3461
2023,March,3,Headphones,South,85574,17457,68117
2023,March,3,Headphones,East,43386,7908,35478
2023,March,3,Headphones,West,67154,5110,62044
2023,March,3,Smartwatch,North,78146,65658,12488
2023,March,3,Smartwatch,South,80575,50013,30562
2023,March,3,Smartwatch,East,97900,17912,79988
2023,March,3,Smartwatch,West,57739,33265,24474
2023,April,4,Laptop,North,19171,67185,-48014
2023,April,4,Laptop,South,97062,65343,31719
2023,April,4,Laptop,East,53279,45839,7440
2023,April,4,Laptop,West,51145,48475,2670
2023,April,4,Mobile,North,26334,52169,-25835
2023,April,4,Mobile,South,49363,38234,11129
2023,April,4,Mobile,East,50538,48705,1833
2023,April,4,Mobile,West,63528,26376,37152
2023,April,4,Tablet,North,62743,50692,12051
2023,April,4,Tablet,South,48752,41333,7419
2023,April,4,Tablet,East,26683,17572,9111
2023,April,4,Tablet,West,65108,48576,16532
2023,April,4,Headphones,North,59695,49388,10307
2023,April,4,Headphones,South,32810,45338,-12528
2023,April,4,Headphones,East,84593,24723,59870
2023,April,4,Headphones,West,63225,40909,22316
2023,April,4,Smartwatch,North,10053,24914,-14861
2023,April,4,Smartwatch,South,47606,18774,28832
2023,April,4,Smartwatch,East,66346,56495,9851
2023,April,4,Smartwatch,West,86019,44758,41261
2023,May,5,Laptop,North,95813,26118,69695
2023,May,5,Laptop,South,70946,33952,36994
2023,May,5,Laptop,East,67954,49277,18677
2023,May,5,Laptop,West,38010,38500,-490
2023,May,5,Mobile,North,72021,57018,15003
2023,May,5,Mobile,South,32241,48178,-15937
2023,May,5,Mobile,East,21114,23598,-2484
2023,May,5,Mobile,West,77561,48506,29055
2023,May,5,Tablet,North,92960,45583,47377
2023,May,5,Tablet,South,53933,11120,42813
2023,May,5,Tablet,East,40784,49092,-8308
2023,May,5,Tablet,West,50687,19722,30965
2023,May,5,Headphones,North,36100,14656,21444
2023,May,5,Headphones,South,13201,8028,5173
2023,May,5,Headphones,East,42092,69483,-27391
2023,May,5,Headphones,West,72277,45060,27217
2023,May,5,Smartwatch,North,19545,34846,-15301
2023,May,5,Smartwatch,South,64321,63073,1248
2023,May,5,Smartwatch,East,92544,42727,49817
2023,May,5,Smartwatch,West,35485,52077,-16592
2023,June,6,Laptop,North,60328,37399,22929
2023,June,6,Laptop,South,62383,20989,41394
2023,June,6,Laptop,East,29342,47995,-18653
2023,June,6,Laptop,West,10726,63501,-52775
2023,June,6,Mobile,North,23970,56014,-32044
2023,June,6,Mobile,South,65724,19341,46383
2023,June,6,Mobile,East,33053,57698,-24645
2023,June,6,Mobile,West,77889,35444,42445
2023,June,6,Tablet,North,16582,41530,-24948
2023,June,6,Tablet,South,42662,65127,-22465
2023,June,6,Tablet,East,25906,34914,-9008
2023,June,6,Tablet,West,27477,57521,-30044
2023,June,6,Headphones,North,70901,48750,22151
2023,June,6,Headphones,South,79616,69742,9874
2023,June,6,Headphones,East,83259,44023,39236
2023,June,6,Headphones,West,51588,67261,-15673
2023,June,6,Smartwatch,North,68008,45150,22858
2023,June,6,Smartwatch,South,76162,32966,43196
2023,June,6,Smartwatch,East,81810,34223,47587
2023,June,6,Smartwatch,West,30861,53736,-22875
2023,July,7,Laptop,North,72216,34495,37721
2023,July,7,Laptop,South,43972,54268,-10296
2023,July,7,Laptop,East,42406,60041,-17635
2023,July,7,Laptop,West,93579,23173,70406
2023,July,7,Mobile,North,78327,36758,41569
2023,July,7,Mobile,South,92149,20679,71470
2023,July,7,Mobile,East,45992,33827,12165
2023,July,7,Mobile,West,20155,51762,-31607
2023,July,7,Tablet,North,47450,20367,27083
2023,July,7,Tablet,South,45614,27010,18604
2023,July,7,Tablet,East,51904,63525,-11621
2023,July,7,Tablet,West,80798,10280,70518
2023,July,7,Headphones,North,28136,14884,13252
2023,July,7,Headphones,South,40311,30102,10209
2023,July,7,Headphones,East,30028,51295,-21267
2023,July,7,Headphones,West,38043,9209,28834
2023,July,7,Smartwatch,North,64377,31712,32665
2023,July,7,Smartwatch,South,53369,40560,12809
2023,July,7,Smartwatch,East,71069,32248,38821
2023,July,7,Smartwatch,West,18161,18555,-394
2023,August,8,Laptop,North,65069,30524,34545
2023,August,8,Laptop,South,86556,67001,19555
2023,August,8,Laptop,East,12560,61146,-48586
2023,August,8,Laptop,West,85456,29928,55528
2023,August,8,Mobile,North,72518,5386,67132
2023,August,8,Mobile,South,56105,24569,31536
2023,August,8,Mobile,East,61116,60931,185
2023,August,8,Mobile,West,64921,40272,24649
2023,August,8,Tablet,North,81582,57420,24162
2023,August,8,Tablet,South,89069,63838,25231
2023,August,8,Tablet,East,38906,36996,1910
2023,August,8,Tablet,West,38760,22887,15873
2023,August,8,Headphones,North,67125,36827,30298
2023,August,8,Headphones,South,13804,30484,-16680
2023,August,8,Headphones,East,54057,48835,5222
2023,August,8,Headphones,West,99016,57307,41709
2023,August,8,Smartwatch,North,62994,52459,10535
2023,August,8,Smartwatch,South,31632,60083,-28451
2023,August,8,Smartwatch,East,71261,65263,5998
2023,August,8,Smartwatch,West,26728,69272,-42544
2023,September,9,Laptop,North,91560,40004,51556
2023,September,9,Laptop,South,13534,64436,-50902
2023,September,9,Laptop,East,61645,43790,17855
2023,September,9,Laptop,West,83975,48450,35525
2023,September,9,Mobile,North,13552,10501,3051
2023,September,9,Mobile,South,94246,33089,61157
2023,September,9,Mobile,East,27786,61809,-34023
2023,September,9,Mobile,West,70515,16909,53606
2023,September,9,Tablet,North,16590,22049,-5459
2023,September,9,Tablet,South,59689,26453,33236
2023,September,9,Tablet,East,37742,34799,2943
2023,September,9,Tablet,West,52840,27118,25722
2023,September,9,Headphones,North,59692,23235,36457
2023,September,9,Headphones,South,65255,21532,43723
2023,September,9,Headphones,East,20735,35822,-15087
2023,September,9,Headphones,West,12540,54088,-41548
2023,September,9,Smartwatch,North,80702,8413,72289
2023,September,9,Smartwatch,South,55870,19694,36176
2023,September,9,Smartwatch,East,95215,9496,85719
2023,September,9,Smartwatch,West,95426,7638,87788
2023,October,10,Laptop,North,14067,67233,-53166
2023,October,10,Laptop,South,42411,18065,24346
2023,October,10,Laptop,East,12671,45719,-33048
2023,October,10,Laptop,West,29973,20633,9340
2023,October,10,Mobile,North,26544,36035,-9491
2023,October,10,Mobile,South,97747,12496,85251
2023,October,10,Mobile,East,83920,67112,16808
2023,October,10,Mobile,West,38569,35476,3093
2023,October,10,Tablet,North,43586,55259,-11673
2023,October,10,Tablet,South,58351,15996,42355
2023,October,10,Tablet,East,89415,44796,44619
2023,October,10,Tablet,West,25012,55973,-30961
2023,October,10,Headphones,North,31465,68223,-36758
2023,October,10,Headphones,South,50768,12084,38684
2023,October,10,Headphones,East,85849,6682,79167
2023,October,10,Headphones,West,50888,42735,8153
2023,October,10,Smartwatch,North,98781,64508,34273
2023,October,10,Smartwatch,South,59192,30995,28197
2023,October,10,Smartwatch,East,35995,9980,26015
2023,October,10,Smartwatch,West,87607,50260,37347
2023,November,11,Laptop,North,92213,20915,71298
2023,November,11,Laptop,South,23356,50691,-27335
2023,November,11,Laptop,East,49529,60724,-11195
2023,November,11,Laptop,West,99687,44348,55339
2023,November,11,Mobile,North,25866,57181,-31315
2023,November,11,Mobile,South,84177,56290,27887
2023,November,11,Mobile,East,15383,27754,-12371
2023,November,11,Mobile,West,79827,33074,46753
2023,November,11,Tablet,North,96706,29285,67421
2023,November,11,Tablet,South,19038,38158,-19120
2023,November,11,Tablet,East,94874,27362,67512
2023,November,11,Tablet,West,11658,60677,-49019
2023,November,11,Headphones,North,65057,58892,6165
2023,November,11,Headphones,South,74251,11916,62335
2023,November,11,Headphones,East,66822,67966,-1144
2023,November,11,Headphones,West,57472,46653,10819
2023,November,11,Smartwatch,North,70258,51354,18904
2023,November,11,Smartwatch,South,30052,33540,-3488
2023,November,11,Smartwatch,East,33086,53090,-20004
2023,November,11,Smartwatch,West,78386,68273,10113
2023,December,12,Laptop,North,95256,22700,72556
2023,December,12,Laptop,South,90728,57966,32762
2023,December,12,Laptop,East,80539,55766,24773
2023,December,12,Laptop,West,73372,35465,37907
2023,December,12,Mobile,North,67091,59115,7976
2023,December,12,Mobile,South,87656,22589,65067
2023,December,12,Mobile,East,52245,60817,-8572
2023,December,12,Mobile,West,42177,59442,-17265
2023,December,12,Tablet,North,21359,23279,-1920
2023,December,12,Tablet,South,69087,20981,48106
2023,December,12,Tablet,East,70910,42345,28565
2023,December,12,Tablet,West,89997,48790,41207
2023,December,12,Headphones,North,59674,27046,32628
2023,December,12,Headphones,South,13761,37394,-23633
2023,December,12,Headphones,East,52600,16917,35683
2023,December,12,Headphones,West,73904,18901,55003
2023,December,12,Smartwatch,North,56507,57286,-779
2023,December,12,Smartwatch,South,43862,27304,16558
2023,December,12,Smartwatch,East,46655,62692,-16037
2023,December,12,Smartwatch,West,88139,50952,37187
2024,January,1,Laptop,North,46211,41424,4787
2024,January,1,Laptop,South,11330,38857,-27527
2024,January,1,Laptop,East,35042,10610,24432
2024,January,1,Laptop,West,41635,52190,-10555
2024,January,1,Mobile,North,63271,37019,26252
2024,January,1,Mobile,South,82768,54687,28081
2024,January,1,Mobile,East,41499,50259,-8760
2024,January,1,Mobile,West,72402,47329,25073
2024,January,1,Tablet,North,74332,34371,39961
2024,January,1,Tablet,South,12260,11098,1162
2024,January,1,Tablet,East,48566,19522,29044
2024,January,1,Tablet,West,63005,50336,12669
2024,January,1,Headphones,North,41890,25067,16823
2024,January,1,Headphones,South,97026,43112,53914
2024,January,1,Headphones,East,58368,36015,22353
2024,January,1,Headphones,West,82544,39794,42750
2024,January,1,Smartwatch,North,55056,32885,22171
2024,January,1,Smartwatch,South,82140,26678,55462
2024,January,1,Smartwatch,East,56112,51062,5050
2024,January,1,Smartwatch,West,69473,22754,46719
2024,February,2,Laptop,North,50189,21475,28714
2024,February,2,Laptop,South,40217,12907,27310
2024,February,2,Laptop,East,35242,25679,9563
2024,February,2,Laptop,West,25670,53685,-28015
2024,February,2,Mobile,North,80236,67316,12920
2024,February,2,Mobile,South,34267,17552,16715
2024,February,2,Mobile,East,38361,53405,-15044
2024,February,2,Mobile,West,73464,23120,50344
2024,February,2,Tablet,North,87278,69002,18276
2024,February,2,Tablet,South,78765,44111,34654
2024,February,2,Tablet,East,47093,69258,-22165
2024,February,2,Tablet,West,23176,59567,-36391
2024,February,2,Headphones,North,35443,24414,11029
2024,February,2,Headphones,South,39816,28650,11166
2024,February,2,Headphones,East,33519,24809,8710
2024,February,2,Headphones,West,11854,51400,-39546
2024,February,2,Smartwatch,North,80010,13295,66715
2024,February,2,Smartwatch,South,45954,7982,37972
2024,February,2,Smartwatch,East,17146,41264,-24118
2024,February,2,Smartwatch,West,48290,50705,-2415
2024,March,3,Laptop,North,26551,46803,-20252
2024,March,3,Laptop,South,74340,11723,62617
2024,March,3,Laptop,East,11607,42621,-31014
2024,March,3,Laptop,West,47268,35762,11506
2024,March,3,Mobile,North,72746,33866,38880
2024,March,3,Mobile,South,54657,17082,37575
2024,March,3,Mobile,East,16734,21546,-4812
2024,March,3,Mobile,West,72616,12476,60140
2024,March,3,Tablet,North,18564,31260,-12696
2024,March,3,Tablet,South,74454,9855,64599
2024,March,3,Tablet,East,85631,46251,39380
2024,March,3,Tablet,West,99974,8513,91461
2024,March,3,Headphones,North,29887,14777,15110
2024,March,3,Headphones,South,83772,67201,16571
2024,March,3,Headphones,East,49824,10582,39242
2024,March,3,Headphones,West,42530,12762,29768
2024,March,3,Smartwatch,North,83147,55098,28049
2024,March,3,Smartwatch,South,64548,44735,19813
2024,March,3,Smartwatch,East,88135,56821,31314
2024,March,3,Smartwatch,West,91057,19790,71267
2024,April,4,Laptop,North,78494,29928,48566
2024,April,4,Laptop,South,69049,64539,4510
2024,April,4,Laptop,East,68028,24487,43541
2024,April,4,Laptop,West,87139,69882,17257
2024,April,4,Mobile,North,66207,25013,41194
2024,April,4,Mobile,South,84531,45699,38832
2024,April,4,Mobile,East,17894,44952,-27058
2024,April,4,Mobile,West,23006,67101,-44095
2024,April,4,Tablet,North,37235,45993,-8758
2024,April,4,Tablet,South,37659,22343,15316
2024,April,4,Tablet,East,96563,10320,86243
2024,April,4,Tablet,West,30585,20719,9866
2024,April,4,Headphones,North,32782,41175,-8393
2024,April,4,Headphones,South,19838,15258,4580
2024,April,4,Headphones,East,10350,31772,-21422
2024,April,4,Headphones,West,69048,50178,18870
2024,April,4,Smartwatch,North,87832,35796,52036
2024,April,4,Smartwatch,South,48175,7139,41036
2024,April,4,Smartwatch,East,40340,23881,16459
2024,April,4,Smartwatch,West,47056,51070,-4014
2024,May,5,Laptop,North,69510,9664,59846
2024,May,5,Laptop,South,40595,65549,-24954
2024,May,5,Laptop,East,44675,56631,-11956
2024,May,5,Laptop,West,91927,43652,48275
2024,May,5,Mobile,North,96662,57684,38978
2024,May,5,Mobile,South,35928,32861,3067
2024,May,5,Mobile,East,25043,40688,-15645
2024,May,5,Mobile,West,39466,47443,-7977
2024,May,5,Tablet,North,29528,64533,-35005
2024,May,5,Tablet,South,44816,59174,-14358
2024,May,5,Tablet,East,28643,9679,18964
2024,May,5,Tablet,West,17816,15873,1943
2024,May,5,Headphones,North,50319,43996,6323
2024,May,5,Headphones,South,84607,65371,19236
2024,May,5,Headphones,East,47828,33780,14048
2024,May,5,Headphones,West,26299,35716,-9417
2024,May,5,Smartwatch,North,49857,50857,-1000
2024,May,5,Smartwatch,South,62757,66779,-4022
2024,May,5,Smartwatch,East,45683,37798,7885
2024,May,5,Smartwatch,West,80776,37361,43415
2024,June,6,Laptop,North,67377,10271,57106
2024,June,6,Laptop,South,88385,7612,80773
2024,June,6,Laptop,East,66626,53138,13488
2024,June,6,Laptop,West,52247,44564,7683
2024,June,6,Mobile,North,42816,6695,36121
2024,June,6,Mobile,South,21970,20002,1968
2024,June,6,Mobile,East,98381,59785,38596
